scenario_index,v27_rf,v28_rf,delta_rf,v27_progress,v28_progress,delta_progress,v27_comfort,v28_comfort,delta_comfort,v27_collision,v28_collision,delta_collision,v27_overlap,v28_overlap,delta_overlap,v27_offroad,v28_offroad,delta_offroad,v27_accuracy,v28_accuracy,delta_accuracy
43,0.84357417,0.872385,0.028810829999999954,0.82474875,0.84983575,0.02508699999999997,0.8875,0.925,0.03750000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
44,0.90305215,0.9045413,0.0014891499999999391,0.9097173,0.92255896,0.012841660000000088,0.8875,0.8625,-0.02499999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
45,0.9311264,0.929882,-0.0012444000000000344,0.9498234,0.89983135,-0.049992049999999955,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
46,0.9226467,0.9484434,0.025796700000000006,0.8894953,0.92634773,0.03685243000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
47,0.96250004,0.9201727,-0.04232734000000005,1.0,0.88596106,-0.11403894000000003,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
48,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
49,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
50,0.9569629,0.9569629,0.0,0.9385184,0.9385184,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
51,1.0,0.982597,-0.017402999999999946,1.0,0.9751386,-0.024861400000000033,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
52,0.7469589,0.744286,-0.002672899999999978,0.7938699,0.73112285,-0.06274705000000003,0.6375,0.77500004,0.13750004000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
