scenario_index,trace_comfort,csv_comfort,abs_error
1,1.0,1.0,0.0
24,0.425,0.4375,0.012500000000000011
29,0.45,0.4125,0.03750000000000003
37,0.625,0.58750004,0.03749996
43,0.55,0.5625,0.012499999999999956
46,0.925,1.0,0.07499999999999996
55,0.925,0.85,0.07500000000000007
71,0.775,0.83750004,0.06250003999999998
93,0.8875,0.8875,0.0
96,0.8875,0.8875,0.0
109,0.8125,0.8875,0.07499999999999996
119,0.725,0.58750004,0.13749995999999998
123,0.2375,0.2375,0.0
131,0.8875,0.8875,0.0
133,0.0,0.0,0.0
142,0.525,0.52500004,3.9999999978945766e-08
145,0.9,0.6875,0.21250000000000002
155,0.975,0.975,0.0
158,0.3,0.7625,0.46249999999999997
162,0.55,0.58750004,0.03750003999999996
167,0.4875,0.4875,0.0
183,0.4583333333333333,0.45000002,0.008333313333333314
211,0.8625,0.825,0.03750000000000009
220,0.575,0.5625,0.012499999999999956
235,0.8125,0.8875,0.07499999999999996
240,0.8875,0.8875,0.0
255,0.8875,0.8875,0.0
267,0.5625,0.5375,0.025000000000000022
279,0.9125,0.9125,0.0
287,0.5375,0.5375,0.0
295,1.0,1.0,0.0
299,0.6875,0.5375,0.15000000000000002
304,0.9,0.975,0.07499999999999996
314,0.7625,0.8625,0.10000000000000009
315,0.7125,0.71250004,3.9999999978945766e-08
344,0.8875,0.8875,0.0
347,0.6125,0.5625,0.050000000000000044
354,0.475,0.5125,0.03749999999999998
365,1.0,1.0,0.0
372,0.5125,0.5625,0.050000000000000044
408,1.0,1.0,0.0
409,1.0,1.0,0.0
415,1.0,1.0,0.0
420,0.575,0.4625,0.11249999999999993
421,0.6,0.6,0.0
450,1.0,1.0,0.0
476,0.925,0.925,0.0
497,0.4375,0.475,0.03749999999999998
505,1.0,1.0,0.0
520,0.5,0.475,0.025000000000000022
522,0.5125,0.5125,0.0
528,1.0,1.0,0.0
533,1.0,1.0,0.0
538,0.55,0.6,0.04999999999999993
545,0.6625,0.6625,0.0
551,0.1,0.0625,0.037500000000000006
558,0.925,0.925,0.0
565,0.8625,0.8625,0.0
568,0.45,0.425,0.025000000000000022
569,0.55,0.4,0.15000000000000002
582,0.7,0.58750004,0.11249995999999995
631,0.8375,0.83750004,3.9999999978945766e-08
646,1.0,1.0,0.0
650,1.0,1.0,0.0
665,0.925,0.925,0.0
691,0.525,0.575,0.04999999999999993
694,0.9125,0.9125,0.0
705,1.0,1.0,0.0
719,0.675,0.6625,0.012500000000000067
769,0.7,0.71250004,0.012500040000000046
774,0.75,0.675,0.07499999999999996
782,0.4875,0.4875,0.0
797,0.925,0.925,0.0
801,0.925,0.925,0.0
808,0.8875,0.8875,0.0
813,0.8875,1.0,0.11250000000000004
828,1.0,1.0,0.0
832,0.8875,0.8875,0.0
838,0.7,0.7,0.0
842,1.0,1.0,0.0
845,0.5125,0.6625,0.15000000000000002
851,0.935064935064935,0.9350649,3.5064935066664304e-08
852,1.0,1.0,0.0
853,0.8875,0.8875,0.0
858,0.8875,0.8875,0.0
860,0.8375,0.83750004,3.9999999978945766e-08
865,0.425,0.3375,0.08749999999999997
877,0.7125,0.6625,0.050000000000000044
882,1.0,1.0,0.0
892,0.45,0.45000002,1.9999999989472883e-08
898,0.5625,0.4875,0.07500000000000001
916,1.0,1.0,0.0
929,1.0,1.0,0.0
940,1.0,1.0,0.0
947,0.7125,0.6,0.11250000000000004
964,0.6625,0.6,0.0625
980,0.475,0.475,0.0
1000,0.7125,0.575,0.13750000000000007
1002,0.175,0.35,0.175
1014,0.8625,0.85,0.012500000000000067
