scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,ego_width,nearest_any,road_clearance,nearest_boundary,boundary_clearance,nearest_median,median_clearance,left_distance,right_distance,min_side_distance,min_side_clearance,num_edge_points,dir30_count,dir30_left_point,dir30_right_point,dir30_point_clearance,dir30_left_line,dir30_right_line,dir30_line_clearance,dir45_count,dir45_left_point,dir45_right_point,dir45_point_clearance,dir45_left_line,dir45_right_line,dir45_line_clearance
510,FIXED_OFFROAD,66,6.6000000000000005,1.0,56,5.6000000000000005,1.8900001049041748,1.90654642944694,0.9615463769948527,1.90654642944694,0.9615463769948527,1.90654642944694,0.9615463769948527,0.358184814453125,0.743377685546875,0.358184814453125,-0.5868152379989624,109,29,0.358184814453125,0.743377685546875,-0.5868152379989624,1.874755293607276,1.3014037678901436,0.35640371543805616,29,0.358184814453125,0.743377685546875,-0.5868152379989624,1.874755293607276,1.3014037678901436,0.35640371543805616
510,FIXED_OFFROAD,66,6.6000000000000005,0.5,61,6.1000000000000005,1.8900001049041748,1.8158581411769203,0.870858088724833,1.8158581411769203,0.870858088724833,1.8158581411769203,0.870858088724833,0.5777587890625,0.34625244140625,0.34625244140625,-0.5987476110458374,113,29,0.5777587890625,0.34625244140625,-0.5987476110458374,1.5053763376846379,1.539030379774024,0.5603762852325505,29,0.5777587890625,0.34625244140625,-0.5987476110458374,1.5053763376846379,1.539030379774024,0.5603762852325505
618,SAFE,45,4.5,3.0,15,1.5,1.8900001049041748,1.8662314461260376,0.9212313936739502,1.8662314461260376,0.9212313936739502,1.8662314461260376,0.9212313936739502,1.695068359375,11.585205078125,1.695068359375,0.7500683069229126,105,54,1.695068359375,11.585205078125,0.7500683069229126,1.8622210520048617,11.665388579191937,0.9172209995527743,54,1.695068359375,11.585205078125,0.7500683069229126,1.8622210520048617,11.665388579191937,0.9172209995527743
618,SAFE,45,4.5,2.0,25,2.5,1.8900001049041748,1.8713117613837624,0.926311708931675,1.8713117613837624,0.926311708931675,1.8713117613837624,0.926311708931675,1.695068359375,11.585205078125,1.695068359375,0.7500683069229126,105,54,1.695068359375,11.585205078125,0.7500683069229126,1.8630230620213772,11.664119323719952,0.9180230095692898,54,1.695068359375,11.585205078125,0.7500683069229126,1.8630230620213772,11.664119323719952,0.9180230095692898
618,SAFE,45,4.5,1.0,35,3.5,1.8900001049041748,1.8772188726921313,0.9322188202400439,1.8772188726921313,0.9322188202400439,1.8772188726921313,0.9322188202400439,1.6676025390625,11.5850830078125,1.6676025390625,0.7226024866104126,122,58,1.6676025390625,11.5850830078125,0.7226024866104126,1.8638023541140485,11.662925486611222,0.9188023016619611,58,1.6676025390625,11.5850830078125,0.7226024866104126,1.8638023541140485,11.662925486611222,0.9188023016619611
618,SAFE,45,4.5,0.5,40,4.0,1.8900001049041748,1.8804391330087216,0.9354390805566342,1.8804391330087216,0.9354390805566342,1.8804391330087216,0.9354390805566342,1.69482421875,11.5848388671875,1.69482421875,0.7498241662979126,105,55,1.69482421875,11.5848388671875,0.7498241662979126,1.864188798146072,11.662338954630327,0.9191887456939847,55,1.69482421875,11.5848388671875,0.7498241662979126,1.864188798146072,11.662338954630327,0.9191887456939847
666,NEW_OFFROAD,77,7.7,3.0,47,4.7,2.4900002479553223,15.462352572272547,14.217352448294886,15.462352572272547,14.217352448294886,15.462352572272547,14.217352448294886,,11.01513671875,11.01513671875,9.770136594772339,115,3,,11.01513671875,9.770136594772339,,9.988724896586039,8.743724772608378,3,,11.01513671875,9.770136594772339,,9.988724896586039,8.743724772608378
666,NEW_OFFROAD,77,7.7,2.0,57,5.7,2.4900002479553223,10.85454848905952,9.609548365081858,10.85454848905952,9.609548365081858,10.85454848905952,9.609548365081858,18.0162353515625,10.727783203125,10.727783203125,9.482783079147339,156,8,18.0162353515625,10.727783203125,9.482783079147339,18.167299240279473,10.491030261515155,9.246030137537494,8,18.0162353515625,10.727783203125,9.482783079147339,18.167299240279473,10.491030261515155,9.246030137537494
666,NEW_OFFROAD,77,7.7,1.0,67,6.7,2.4900002479553223,12.10929854830327,10.864298424325609,12.10929854830327,10.864298424325609,12.10929854830327,10.864298424325609,7.80517578125,,7.80517578125,6.560175657272339,68,4,7.80517578125,,6.560175657272339,2.184743856296276,,0.9397437323186151,8,7.80517578125,,6.560175657272339,2.184743856296276,,0.9397437323186151
666,NEW_OFFROAD,77,7.7,0.5,72,7.2,2.4900002479553223,7.211011930641577,5.966011806663916,7.211011930641577,5.966011806663916,7.211011930641577,5.966011806663916,0.4132080078125,0.5550537109375,0.4132080078125,-0.8317921161651611,160,27,2.166748046875,0.5550537109375,-0.6899464130401611,1.412575480465365,5.603827946317758,0.16757535648770383,29,0.4132080078125,0.5550537109375,-0.8317921161651611,1.412575480465365,5.603827946317758,0.16757535648770383
694,FIXED_OFFROAD,24,2.4000000000000004,2.0,4,0.4,2.4900002479553223,2.2345743857300677,0.9895742617524066,2.2345743857300677,0.9895742617524066,2.2345743857300677,0.9895742617524066,1.5914306640625,1.9930419921875,1.5914306640625,0.34643054008483887,87,18,1.5914306640625,1.9930419921875,0.34643054008483887,1.8570725154500523,0.3209060327376403,-0.9240940912400208,23,1.5914306640625,1.9930419921875,0.34643054008483887,1.8570725154500523,0.3209060327376403,-0.9240940912400208
694,FIXED_OFFROAD,24,2.4000000000000004,1.0,14,1.4000000000000001,2.4900002479553223,2.2686977760094615,1.0236976520318004,2.2686977760094615,1.0236976520318004,2.2686977760094615,1.0236976520318004,2.41259765625,2.1495361328125,2.1495361328125,0.9045360088348389,74,18,2.41259765625,2.1495361328125,0.9045360088348389,2.1014483541328133,1.376425367463854,0.1314252434861929,25,2.41259765625,2.1495361328125,0.9045360088348389,2.1014483541328133,0.2879946012470539,-0.9570055227306072
694,FIXED_OFFROAD,24,2.4000000000000004,0.5,19,1.9000000000000001,2.4900002479553223,2.3402708711358726,1.0952707471582115,2.3402708711358726,1.0952707471582115,2.3402708711358726,1.0952707471582115,0.9781494140625,2.222412109375,0.9781494140625,-0.26685070991516113,71,23,0.9781494140625,2.222412109375,-0.26685070991516113,2.448899519678443,1.1769359147892677,-0.0680642091883934,29,0.9781494140625,2.222412109375,-0.26685070991516113,2.448899519678443,1.1769359147892677,-0.0680642091883934
721,SAFE,65,6.5,3.0,35,3.5,1.8900001049041748,4.016222027289005,3.0712219748369174,4.016222027289005,3.0712219748369174,4.016222027289005,3.0712219748369174,8.4752197265625,3.738250732421875,3.738250732421875,2.7932506799697876,84,20,8.4752197265625,3.738250732421875,2.7932506799697876,9.120621485602166,4.015215479592765,3.0702154271406776,20,8.4752197265625,3.738250732421875,2.7932506799697876,9.120621485602166,4.015215479592765,3.0702154271406776
721,SAFE,65,6.5,2.0,45,4.5,1.8900001049041748,4.548718213628489,3.6037181611764018,4.548718213628489,3.6037181611764018,4.548718213628489,3.6037181611764018,7.77716064453125,3.708587646484375,3.708587646484375,2.7635875940322876,88,21,7.77716064453125,3.708587646484375,2.7635875940322876,8.702557406406745,4.430020913273241,3.4850208608211535,21,7.77716064453125,3.708587646484375,2.7635875940322876,8.702557406406745,4.430020913273241,3.4850208608211535
721,SAFE,65,6.5,1.0,55,5.5,1.8900001049041748,5.443284630305052,4.4982845778529645,5.443284630305052,4.4982845778529645,5.443284630305052,4.4982845778529645,3.5753173828125,5.43353271484375,3.5753173828125,2.6303173303604126,85,21,3.5753173828125,5.43353271484375,2.6303173303604126,7.842511903901307,5.287160967615385,4.342160915163298,21,3.5753173828125,5.43353271484375,2.6303173303604126,7.842511903901307,5.287160967615385,4.342160915163298
721,SAFE,65,6.5,0.5,60,6.0,1.8900001049041748,5.896714795144463,4.951714742692376,5.896714795144463,4.951714742692376,5.896714795144463,4.951714742692376,2.56988525390625,5.3599853515625,2.56988525390625,1.6248852014541626,87,22,2.56988525390625,5.3599853515625,1.6248852014541626,7.251602709867895,5.876658004050514,4.931657951598426,22,2.56988525390625,5.3599853515625,1.6248852014541626,7.251602709867895,5.876658004050514,4.931657951598426
831,SAFE,32,3.2,3.0,2,0.2,2.4900002479553223,4.100164537723625,2.855164413745964,4.100164537723625,2.855164413745964,4.100164537723625,2.855164413745964,5.109375,4.080902099609375,4.080902099609375,2.835901975631714,98,21,5.109375,4.080902099609375,2.835901975631714,6.580785646742597,3.6104474140680956,2.3654472900904344,21,5.109375,4.080902099609375,2.835901975631714,6.580785646742597,3.6104474140680956,2.3654472900904344
831,SAFE,32,3.2,2.0,12,1.2000000000000002,2.4900002479553223,5.907978702097515,4.662978578119854,5.907978702097515,4.662978578119854,5.907978702097515,4.662978578119854,5.88739013671875,5.627899169921875,5.627899169921875,4.382899045944214,98,21,5.88739013671875,5.627899169921875,4.382899045944214,5.895369751426553,5.783792886142679,4.538792762165018,21,5.88739013671875,5.627899169921875,4.382899045944214,5.895369751426553,5.783792886142679,4.538792762165018
831,SAFE,32,3.2,1.0,22,2.2,2.4900002479553223,5.755569077971124,4.510568953993463,5.755569077971124,4.510568953993463,5.755569077971124,4.510568953993463,6.1064453125,5.711090087890625,5.711090087890625,4.466089963912964,98,20,6.1064453125,5.711090087890625,4.466089963912964,6.124791371148874,5.640154589974769,4.395154465997108,20,6.1064453125,5.711090087890625,4.466089963912964,6.124791371148874,5.640154589974769,4.395154465997108
831,SAFE,32,3.2,0.5,27,2.7,2.4900002479553223,5.764075190553296,4.519075066575635,5.764075190553296,4.519075066575635,5.764075190553296,4.519075066575635,6.158355712890625,5.70849609375,5.70849609375,4.463495969772339,95,17,6.158355712890625,5.70849609375,4.463495969772339,6.230353269469568,5.757829321581115,4.512829197603454,18,6.158355712890625,5.70849609375,4.463495969772339,2.017073395281215,5.757829321581115,0.7720732713035541
940,SAFE,70,7.0,3.0,40,4.0,2.0380001068115234,4.684322783663322,3.66532273025756,4.684322783663322,3.66532273025756,4.684322783663322,3.66532273025756,4.592974662780762,,4.592974662780762,3.573974609375,28,15,4.592974662780762,,3.573974609375,4.616564440273169,,3.5975643868674076,15,4.592974662780762,,3.573974609375,4.616564440273169,,3.5975643868674076
