scenario_index,lead_s,object_index,object_rank,is_collider,distance,ego_speed,object_speed,relative_speed,closing_speed,relative_heading_rad,relative_heading_deg,tcpa_raw,tcpa_clipped,dcpa,predicted_clearance,approaching,interaction_risk
528,1.0,5,6.0,0,11.355059708085246,0.53840172290802,3.2551686763763428,2.7167669581256724,2.716139758607035,0.0001201629638671875,0.006884830683372853,4.178657362218231,4.178657362218231,0.24398100611193838,-5.697495937347412,1,0.5244872500009542
528,1.0,9,4.0,0,9.766293973992939,0.53840172290802,0.0,0.53840172290802,-0.5143959226733278,3.1236901918994353,178.97426450224785,-17.33063311087034,0.0,9.766293973992939,3.8060505390167236,0,0.0
528,1.0,13,3.0,0,8.978576091575611,0.53840172290802,0.0,0.53840172290802,0.4995799760729954,3.1331160068511963,179.51432391745507,15.473893677879582,5.0,6.557939518094244,0.5889501571655273,0,0.0
528,1.0,23,5.0,0,11.185279100837123,0.53840172290802,0.0,0.53840172290802,0.5196136877025603,0.004647254943847656,0.2662680946037771,20.050006886384153,5.0,8.616097592802573,2.7000997066497803,0,0.0
528,1.0,25,8.0,0,17.296458827421603,0.53840172290802,0.0,0.53840172290802,-0.5314313200004135,0.016997814178466797,0.9739030133737782,-31.709650951375128,0.0,17.296458827421603,11.354166030883789,0,0.0
528,1.0,28,7.0,0,15.92470733867573,0.53840172290802,0.0,0.53840172290802,0.5383873297884944,0.03847312927246094,2.2043479319732353,29.576951456780552,5.0,13.232785329850332,7.340998649597168,0,0.0
528,1.0,29,11.0,0,19.32091856961092,0.53840172290802,1.3769643306732178,1.9139522297396205,-0.7432478531275534,3.056110382080078,175.10222661930192,-3.920118952246614,0.0,19.32091856961092,15.548019409179688,0,0.0
528,1.0,31,9.0,0,17.399845609014427,0.53840172290802,0.0,0.53840172290802,0.529500381015799,0.0027475357055664062,0.15742219999045387,31.783285550391366,5.0,14.760395956830042,8.842778205871582,0,0.0
528,1.0,32,10.0,0,18.9971100931737,0.53840172290802,0.0,0.53840172290802,0.5329939561062127,0.008444786071777344,0.4838506008037033,34.92986780280387,5.0,16.336574109692062,10.51453971862793,0,0.0
528,1.0,34,12.0,0,23.168866502087152,0.53840172290802,0.0,0.53840172290802,0.04780160152811844,2.519896984100342,144.3794619966943,3.8206244668472196,3.8206244668472196,23.077369852254748,17.18475914001465,1,0.0005452950979281793
528,1.0,38,13.0,0,23.729366373469357,0.53840172290802,0.0,0.53840172290802,-0.030598299390757155,0.68790847459902,39.41425228580624,-2.5047855517030166,0.0,23.729366373469357,18.373390197753906,0,0.0
528,1.0,43,16.0,0,25.392531403369553,0.53840172290802,0.0,0.53840172290802,-0.535479228413551,0.017411231994628906,0.9975901094153824,-46.90679340897539,0.0,25.392531403369553,19.48414421081543,0,0.0
528,1.0,48,14.0,0,24.32689364337643,0.53840172290802,0.0,0.53840172290802,0.14641625644533554,2.323608875274658,133.13298179237802,12.287487049875716,5.0,23.736599118973142,17.806396484375,0,0.0
528,1.0,50,15.0,0,24.88734179064751,0.53840172290802,0.0,0.53840172290802,-0.10484368924285657,2.480267286300659,142.1088475693936,-9.001355721562149,0.0,24.88734179064751,19.167863845825195,0,0.0
643,2.0,1,11.0,1,43.9055675818823,0.4798137843608856,22.877246856689453,22.399009310881294,22.353372375760568,0.08022522926330566,4.596567047256841,1.9561629459057794,1.9561629459057794,2.8012837196353675,-6.479828357696533,1,7.561617131667081
