scenario_index,v26_rf,v27_rf,delta_rf,v26_progress,v27_progress,delta_progress,v26_comfort,v27_comfort,delta_comfort,v26_collision,v27_collision,v26_overlap,v27_overlap,v26_offroad,v27_offroad,v26_accuracy,v27_accuracy,v26_basepc,v27_basepc,v26_overlap_fail,v27_overlap_fail,v26_offroad_fail,v27_offroad_fail,v26_collision_fail,v27_collision_fail,v26_zero,v27_zero,new_zero,fixed_zero,persistent_zero,new_overlap,fixed_overlap,new_offroad,fixed_offroad,new_collision,fixed_collision,v27_zero_type,v26_episode_length,v27_episode_length,v26_seconds,v27_seconds
1474,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1475,0.96625006,0.97749996,0.0112498999999999,1.0,1.0,0.0,0.8875,0.925,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.96625,0.9775,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1476,0.9423906,0.93625003,-0.00614057,0.9498438,1.0,0.0501561999999999,0.925,0.7875,-0.1375,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.94239066,0.93625,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1477,1.0,0.8912501,-0.1087498999999999,1.0,1.0,0.0,1.0,0.6375,-0.3625,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,0.8912499999999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1478,0.9095179,0.89944583,-0.0100720699999999,0.92431116,0.89920825,-0.0251029099999999,0.875,0.90000004,0.02500004,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.909517812,0.899445787,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1479,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1480,0.8684341,0.8853712,0.0169371,0.8120486,0.8362445,0.0241958999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.86843402,0.8853711499999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1481,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1482,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1.0,1.0,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,OVERLAP+COLLISION,26,26,2.6,2.6
1483,0.8900243,0.9212387,0.0312143999999999,0.8750347,0.8874839,0.0124491999999999,0.925,1.0,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.8900242899999999,0.92123873,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1484,0.9793854,1.0,0.0206146,0.9705505,1.0,0.0294495,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.97938535,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1485,0.8848383,0.9132925,0.0284541999999999,0.83548325,0.8761321,0.0406488499999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.8848382749999999,0.91329247,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1486,0.8690037,0.90230507,0.03330137,0.8128624,0.89257866,0.0797162599999999,1.0,0.925,-0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.8690036799999998,0.902305062,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1487,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1488,0.97749996,0.9888732,0.01137324,1.0,0.9841046,-0.0158954,0.925,1.0,0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.9775,0.98887322,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1489,0.0,0.0,0.0,0.011049724,0.0141720055,0.0031222814999999,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0.3077348068,0.3099204038499999,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,OVERLAP+COLLISION,6,6,0.6000000000000001,0.6000000000000001
1490,0.813729,0.83989686,0.0261678599999999,0.78747,0.82485265,0.0373826499999999,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.8137289999999999,0.8398968549999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1491,0.8990473,0.9247555,0.0257081999999999,0.85578173,0.89250785,0.0367261199999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.8990472110000001,0.924755495,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1492,1.0,1.0,0.0,0.99999994,0.99999994,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.999999958,0.999999958,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1493,0.946451,0.95983136,0.0133803599999999,0.9770729,0.9426162,-0.0344567,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.94645103,0.95983134,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1494,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,1.0,1.0,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,OVERLAP+COLLISION,1,1,0.1,0.1
1495,0.88554764,0.88179773,-0.00374991,0.88471097,0.88471097,0.0,0.8875,0.875,-0.0124999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.885547679,0.881797679,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1496,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1497,0.9909706,0.9640364,-0.0269342,0.9871009,0.9486234,-0.0384774999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.99097063,0.96403638,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1498,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1499,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1500,0.87264675,0.8501467,-0.0225000499999999,0.8502096,0.8502096,0.0,0.925,0.85,-0.075,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.8726467200000001,0.85014672,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1501,0.9110409,0.9558242,0.0447832999999999,0.8729155,0.9368917,0.0639762,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.91104085,0.95582419,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1502,0.8001421,0.83883375,0.03869165,0.8591316,0.8983339,0.0392023,0.6625,0.7,0.0374999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.80014212,0.8388337299999999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1503,0.8621358,0.80910033,-0.0530354699999999,0.8030511,0.77550054,-0.02755056,1.0,0.8875,-0.1125,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.8621357699999999,0.809100378,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1504,0.0,0.86739177,0.86739177,0.21104118,0.81055975,0.5995185700000001,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0.4477288259999999,0.8673918249999999,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,PASS,15,80,1.5,8.0
1505,0.92116976,0.92116976,0.0,0.88738537,0.88738537,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.921169759,0.921169759,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1506,0.92047995,0.93722695,0.0167469999999999,0.88639987,0.9103242,0.02392433,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.920479909,0.93722694,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1507,0.92184466,0.93052715,0.0086824899999999,0.8883496,0.900753,0.0124034,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.92184472,0.9305271,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1508,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1509,0.8568571,0.92797107,0.0711139699999999,0.7955102,0.89710146,0.10159126,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.85685714,0.927971022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1510,0.85128117,0.89506525,0.04378408,0.7875446,0.8500931,0.0625485,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.85128122,0.8950651700000001,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1511,0.90079653,0.9097621,0.0089655699999999,0.8582808,0.87108874,0.01280794,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.90079656,0.909762118,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1512,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1513,0.30267534,0.2798998,-0.02277554,0.0038219274,0.008785421,0.0049634936,1.0,0.9125,-0.0875,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.30267534918,0.2798997947,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1514,0.9305379,0.9305379,0.0,0.9007684,0.9007684,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.93053788,0.93053788,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1515,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1516,0.92861885,0.92861885,0.0,0.89802694,0.89802694,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.928618858,0.928618858,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1517,0.9118151,0.88931507,-0.02250003,0.8740215,0.8740215,0.0,1.0,0.925,-0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.91181505,0.88931505,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1518,0.8503149,0.8416506,-0.0086642999999999,0.81830704,0.8702152,0.0519081599999999,0.925,0.77500004,-0.14999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.850314928,0.841650652,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1519,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1520,0.94303304,0.94850266,0.00546962,0.9186186,0.9585752,0.0399566,1.0,0.925,-0.0749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.94303302,0.94850264,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1521,0.86013347,0.90008396,0.03995049,0.8001906,0.85726273,0.05707213,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.8601334199999999,0.9000839109999998,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1522,0.96391976,1.0,0.0360802399999999,0.94845676,1.0,0.0515432399999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.963919732,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1523,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1524,0.97375005,0.91375,-0.06000005,1.0,1.0,0.0,0.9125,0.71250004,-0.1999999599999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.97375,0.913750012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1525,0.95011514,0.9224459,-0.0276692399999999,0.9876644,0.8892083,-0.0984561,0.8625,1.0,0.1374999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.95011508,0.92244581,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1526,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1527,0.9221345,0.9192652,-0.0028692999999999,0.88876355,0.93823594,0.04947239,1.0,0.875,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.922134485,0.919265158,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1528,0.92125,0.8725616,-0.0486883999999999,1.0,0.91437364,-0.08562636,0.7375,0.77500004,0.0375000399999999,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.92125,0.8725615599999998,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
1529,0.9197203,0.96962184,0.0499015399999999,0.8853147,0.9566027,0.071288,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.91972029,0.96962189,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,PASS,80,80,8.0,8.0
