scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,risk_object_index,risk_distance,risk_static_clearance,risk_predicted_clearance,risk_dcpa,risk_tcpa_raw,risk_tcpa_clipped,risk_future_tcpa,risk_approaching,risk_closing_speed,second_object_index,second_distance,second_static_clearance,second_predicted_clearance,second_dcpa,second_future_tcpa,second_approaching,top2_mean_predicted_clearance,second_minus_first_pred_gap,num_pred_conflict_0,num_pred_conflict_1,num_pred_conflict_2,min_future_tcpa_conflict_0,min_future_tcpa_conflict_1,min_future_tcpa_conflict_2
207,SAFE,74,7.4,1.0,64,6.4,8,44.537480870003115,38.59749676812524,0.016096577824870728,5.956080679702743,4.295046698063977,4.295046698063977,4.295046698063977,1,10.1840483066549,9,17.260776256604544,11.319986395197809,0.7370635133868841,6.677853374793619,1.4971835143669756,1,0.37658004560587743,0.7209669355620134,0,2,5,5.0,1.4971835143669756,0.5566902435595965
207,SAFE,74,7.4,0.5,69,6.9,8,39.50444988380997,33.5644657819321,0.5414612739702571,6.481445375848129,3.8571601880743787,3.8571601880743787,3.8571601880743787,1,9.966152667650478,10,44.065016050910636,38.317489873342495,0.7669676917620976,6.514493869330238,3.4362000388594036,1,0.6542144828661773,0.22550641779184044,0,3,5,5.0,1.009939099435868,0.07175887196061864
231,FIXED_COLLISION,61,6.1000000000000005,3.0,31,3.1,3,7.8187038328240375,-4.659137766748846,-4.659137766748846,7.8187038328240375,-4.416784488054201,0.0,5.0,0,-0.42907418775145845,1,45.54089270314938,36.35044759391487,-4.096235033493908,5.094210075740602,3.808077978123867,1,-4.377686400121377,0.5629027332549379,2,2,2,3.808077978123867,3.808077978123867,3.808077978123867
231,FIXED_COLLISION,61,6.1000000000000005,2.0,41,4.1000000000000005,3,8.066205506909592,-4.411636092663292,-5.746940069538227,6.730901530034656,9.291376073460395,5.0,5.0,0,0.335127397323223,1,34.165635803747136,24.975190694512627,-4.596102504437854,4.594342604796656,3.3517721752178384,1,-5.171521286988041,1.1508375651003728,3,3,3,3.3517721752178384,3.3517721752178384,3.3517721752178384
231,FIXED_COLLISION,61,6.1000000000000005,1.0,51,5.1000000000000005,3,7.187896212834318,-5.289945386738566,-7.549458720314175,4.9283828792587085,2.2604072797431876,2.2604072797431876,2.2604072797431876,1,1.6849836149306539,1,23.370652590491083,14.180207481256573,-5.413244366711625,3.777200742522885,2.131115803325064,1,-6.4813515435129005,2.1362143536025497,2,2,3,2.131115803325064,2.131115803325064,2.131115803325064
231,FIXED_COLLISION,61,6.1000000000000005,0.5,56,5.6000000000000005,3,6.173295194462428,-6.304546405110456,-8.618769239254444,3.8590723603184403,1.7090804157662236,1.7090804157662236,1.7090804157662236,1,2.200538986016298,1,18.725052531004792,9.534607421770282,-3.100181479192333,6.090263630042177,1.8700595349493947,1,-5.859475359223389,5.518587760062111,2,2,2,1.7090804157662236,1.7090804157662236,1.7090804157662236
245,FIXED_COLLISION,33,3.3000000000000003,3.0,3,0.30000000000000004,4,3.0007861927650223,-2.1560556053327113,-2.1560556053327113,3.0007861927650223,-436.6864530613325,0.0,5.0,0,-0.0023138140099591927,1,2.8674380755849636,-1.9564025819810724,-1.9564025819810724,2.8674380755849636,5.0,0,-2.056229093656892,0.19965302335163893,5,6,8,5.0,5.0,5.0
245,FIXED_COLLISION,33,3.3000000000000003,2.0,13,1.3,4,3.059455343424745,-2.097386454672989,-2.097386454672989,3.059455343424745,-36.371836999967954,0.0,5.0,0,-0.03045586893248608,1,2.889218664390825,-1.9346219931752109,-1.9346219931752109,2.889218664390825,5.0,0,-2.0160042239241,0.1627644614977779,4,6,9,5.0,5.0,5.0
245,FIXED_COLLISION,33,3.3000000000000003,1.0,23,2.3000000000000003,4,3.1511325760671647,-2.005709222030569,-2.005709222030569,3.1511325760671647,-41.30189372339082,0.0,5.0,0,-0.030472239514161385,1,2.93309235208702,-1.8907483054790162,-1.8907483054790162,2.93309235208702,5.0,0,-1.9482287637547926,0.11496091655155283,4,6,9,5.0,5.0,5.0
245,FIXED_COLLISION,33,3.3000000000000003,0.5,28,2.8000000000000003,1,2.9945242829444543,-1.8293163746215817,-1.8293163746215817,2.9945242829444543,-57.00398846754907,0.0,5.0,0,-0.017654169733432982,10,4.213806480774922,-0.6937063250894928,-0.814270151038543,4.093242654825872,5.0,0,-1.3217932628300624,1.0150462235830386,3,5,8,5.0,5.0,5.0
250,SAFE,69,6.9,3.0,39,3.9000000000000004,6,22.77334872346263,13.496081153334101,-1.2329539830821936,8.044313587046334,2.5889353263869577,2.5889353263869577,2.5889353263869577,1,7.698850602971587,9,13.915150827005444,4.653796286749969,2.573595389446819,11.834949929702294,0.9266127429849115,1,0.6703207031823126,3.8065493725290125,1,1,1,2.5889353263869577,2.5889353263869577,2.5889353263869577
250,SAFE,69,6.9,2.0,49,4.9,6,15.577023733396906,6.299756163268379,-0.5940734943924557,8.683194075736072,1.6937994662130063,1.6937994662130063,1.6937994662130063,1,6.338825121917137,9,11.894392571008849,2.633038030753374,2.633038030753374,11.894392571008849,5.0,0,1.0194822681804592,3.2271115251458298,1,1,1,1.6937994662130063,1.6937994662130063,1.6937994662130063
250,SAFE,69,6.9,1.0,59,5.9,1,27.455547171224733,18.102529935278017,-2.5800743824373296,6.772942853509386,5.485114390235308,5.0,5.0,0,4.737918348767108,6,10.060301209680926,0.7830336395523982,-0.7595000381703354,8.517767531958192,0.7239424008687576,1,-1.6697872103038325,1.8205743442669942,2,2,2,0.7239424008687576,0.7239424008687576,0.7239424008687576
250,SAFE,69,6.9,0.5,64,6.4,1,25.30798471505201,15.954967479105296,-1.5019307919823808,7.851086443964335,5.293217272987667,5.0,5.0,0,4.334378928298079,6,8.426916224172942,-0.8503513459555858,-0.9900673056244553,8.287200264504072,0.21532422371639984,1,-1.245999048803418,0.5118634863579254,2,2,2,0.21532422371639984,0.21532422371639984,0.21532422371639984
