scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,action_accel,action_steer,brake_strength,throttle_strength,abs_steer,delta_accel,delta_steer,abs_delta_accel,abs_delta_steer,accel_change_excess,steer_change_excess,smooth_excess,risk_object_index,risk_distance,risk_static_clearance,risk_predicted_clearance,risk_dcpa,risk_tcpa_raw,risk_tcpa_clipped,risk_future_tcpa,risk_approaching,risk_closing_speed,second_object_index,second_distance,second_static_clearance,second_predicted_clearance,second_dcpa,second_future_tcpa,second_approaching,top2_mean_predicted_clearance,second_minus_first_pred_gap,num_pred_conflict_0,num_pred_conflict_1,num_pred_conflict_2,min_future_tcpa_conflict_0,min_future_tcpa_conflict_1,min_future_tcpa_conflict_2
158,FIXED_COLLISION,10,1.0,1.0,0,0.0,-0.0806330218911171,0.0458647683262825,0.0806330218911171,0.0,0.0458647683262825,,,,,,,,4,14.764293137258452,6.264022883268428,-1.949223769562602,6.551046484427422,1.1358449626143121,1.1358449626143121,1.1358449626143121,1,10.439396827141755,13,88.75381796385977,82.48305870276612,10.989628589225287,17.260387850318946,3.1150079753186657,1,4.5202024098313425,12.938852358787889,1,1,1,1.1358449626143121,1.1358449626143121,1.1358449626143121
158,FIXED_COLLISION,10,1.0,0.5,5,0.5,-0.1393091082572937,-0.08858553320169449,0.1393091082572937,0.0,0.08858553320169449,0.0137900710105896,-0.028917618095874786,0.0137900710105896,0.028917618095874786,0.0,0.0,0.0,4,9.935692126403476,1.4354218724134515,-1.488673540346027,7.011596713643997,0.6249990444509311,0.6249990444509311,0.6249990444509311,1,7.980209481514155,11,95.5485598283391,90.3110574293381,9.39342758231842,14.630929981319404,3.4178860044532153,1,3.9523770209861966,10.882101122664448,1,1,1,0.6249990444509311,0.6249990444509311,0.6249990444509311
163,SAFE,18,1.8,1.0,8,0.8,0.022280342876911163,0.07471895962953568,0.0,0.022280342876911163,0.07471895962953568,0.004032514989376068,-0.0008683204650878906,0.004032514989376068,0.0008683204650878906,0.0,0.0,0.0,1,6.909005498073038,0.9650688592695849,0.9650688592695849,6.909005498073038,-85.114596988267,0.0,5.0,0,-0.08113835390746724,4,30.017885340334356,24.14552725213016,2.858007500753132,8.730365588957326,5.0,0,1.9115381800113584,1.8929386414835472,0,1,1,5.0,5.0,5.0
163,SAFE,18,1.8,0.5,13,1.3,0.025974135845899582,0.08114108443260193,0.0,0.025974135845899582,0.08114108443260193,-0.001803254708647728,0.003058701753616333,0.001803254708647728,0.003058701753616333,0.0,0.0,0.0,1,6.959337933983625,1.0154012951801716,1.0154012951801716,6.959337933983625,-44.8562109402284,0.0,5.0,0,-0.15507207446480042,4,27.950433971959708,22.078075883755513,3.781463054495646,9.65382114269984,5.0,0,2.3984321748379087,2.766061759315474,0,0,1,5.0,5.0,5.0
207,SAFE,74,7.4,3.0,44,4.4,-0.0014299665344879031,0.06750324368476868,0.0014299665344879031,0.0,0.06750324368476868,-0.006667199428193271,0.0008281171321868896,0.006667199428193271,0.0008281171321868896,0.0,0.0,0.0,9,38.17959690897063,32.238807047563895,0.5558301305332973,6.496619991940032,3.3880160224750506,3.3880160224750506,3.3880160224750506,1,10.942727320503598,15,56.58000753144629,50.77091673696738,1.5730336703270513,7.38212446480596,4.705510054090623,1,1.0644319004301743,1.017203539793754,0,1,3,5.0,3.3880160224750506,2.632876332867885
207,SAFE,74,7.4,2.0,54,5.4,0.028532028198242188,0.05895411968231201,0.0,0.028532028198242188,0.05895411968231201,0.00439959391951561,-0.0012036412954330444,0.00439959391951561,0.0012036412954330444,0.0,0.0,0.0,8,54.81500892823392,48.875024826356054,0.3598379270023928,6.299822028880265,5.0924541199533095,5.0,5.0,0,10.625292152269441,9,27.524884772733706,21.58409491132697,0.601837069219151,6.542626930625886,2.4730814885471077,1,0.4808374981107719,0.24199914221675822,0,2,4,5.0,2.4730814885471077,1.5862922012263365
207,SAFE,74,7.4,1.0,64,6.4,0.04323345050215721,0.04476577043533325,0.0,0.04323345050215721,0.04476577043533325,0.0023151561617851257,-0.00086260586977005,0.0023151561617851257,0.00086260586977005,0.0,0.0,0.0,8,44.53623023687541,38.59624613499754,0.016002786776325273,5.955986888654198,4.294636925841688,4.294636925841688,4.294636925841688,1,10.184729441294035,9,17.259623002299353,11.318833140892618,0.7370766767758337,6.677866538182569,1.4969684697929122,1,0.37653973177607947,0.7210738899995084,0,2,5,5.0,1.4969684697929122,0.5568068019629379
207,SAFE,74,7.4,0.5,69,6.9,0.028268609195947647,0.033855076879262924,0.0,0.028268609195947647,0.033855076879262924,-0.00010769441723823547,-0.002990972250699997,0.00010769441723823547,0.002990972250699997,0.0,0.0,0.0,8,39.50282314833653,33.56283904645866,0.5412516833670349,6.481235785244907,3.856749610851945,3.856749610851945,3.856749610851945,1,9.966798321412064,10,44.066631925615546,38.319105748047406,0.7670509413701119,6.514577118938252,3.4365060336073467,1,0.6541513123685734,0.22579925800307699,0,3,5,5.0,1.00972438673992,0.07187915787910247
231,FIXED_COLLISION,61,6.1000000000000005,3.0,31,3.1,0.18621057271957397,-0.00451618293300271,0.0,0.18621057271957397,0.00451618293300271,0.01000155508518219,-0.001412802841514349,0.01000155508518219,0.001412802841514349,0.0,0.0,0.0,3,7.820018363826881,-4.657823235746003,-4.657823235746003,7.820018363826881,-4.396126888871983,0.0,5.0,0,-0.4323960522465897,1,45.53808749223391,36.3476423829994,-4.09812019466829,5.09232491456622,3.80610093619493,1,-4.3779717152071465,0.5597030410777126,2,2,2,3.80610093619493,3.80610093619493,3.80610093619493
231,FIXED_COLLISION,61,6.1000000000000005,2.0,41,4.1000000000000005,0.2796211540699005,0.0033043872099369764,0.0,0.2796211540699005,0.0033043872099369764,-0.002608954906463623,0.016342917224392295,0.002608954906463623,0.016342917224392295,0.0,0.0,0.0,3,8.070066039800995,-4.407775559771888,-5.738512339906617,6.739329259666267,9.361292276792163,5.0,5.0,0,0.33318257676886753,1,34.15834610235549,24.967900993120978,-4.598044509449942,4.592400599784568,3.349940451542472,1,-5.168278424678279,1.140467830456675,3,3,3,3.349940451542472,3.349940451542472,3.349940451542472
231,FIXED_COLLISION,61,6.1000000000000005,1.0,51,5.1000000000000005,0.3005116283893585,-0.014143782667815685,0.0,0.3005116283893585,0.014143782667815685,-0.000553131103515625,0.004667500965297222,0.000553131103515625,0.004667500965297222,0.0,0.0,0.0,3,7.194858906393374,-5.28298269317951,-7.584819226652376,4.893022372920507,2.2747075286666445,2.2747075286666445,2.2747075286666445,1,1.7001092014959747,1,23.362043095538404,14.171597986303894,-5.383277844928733,3.8071672643057775,2.1292848945703815,1,-6.484048535790555,2.2015413817236436,2,2,3,2.1292848945703815,2.1292848945703815,2.1292848945703815
231,FIXED_COLLISION,61,6.1000000000000005,0.5,56,5.6000000000000005,0.2190551608800888,0.00407390994951129,0.0,0.2190551608800888,0.00407390994951129,-0.027064040303230286,0.0011796399485319853,0.027064040303230286,0.0011796399485319853,0.0,0.0,0.0,3,6.177119819451673,-6.3007217801212105,-8.622941596750744,3.8549000028221396,1.711409143316935,1.711409143316935,1.711409143316935,1,2.2036967690854117,1,18.71661563243866,9.52617052320415,-3.1009047245686086,6.089540384665901,1.8692390851290928,1,-5.861923160659677,5.522036872182135,2,2,2,1.711409143316935,1.711409143316935,1.711409143316935
