scenario_index,group,reference_step,reference_seconds,window_s,window_steps,mean_accel,min_accel,mean_brake,max_brake,brake_impulse,throttle_impulse,mean_abs_steer,max_abs_steer,steer_effort,steer_persistence,steer_sign_flips,steer_total_variation,steer_variation_ratio,accel_total_variation,mean_abs_delta_steer,max_abs_delta_steer,mean_abs_delta_accel,max_abs_delta_accel,num_steer_transitions,window_max_abs_delta_steer,window_mean_abs_delta_steer,act_0010,excess_0010,sq_0010,max_excess_0010,act_0020,excess_0020,sq_0020,max_excess_0020,act_0030,excess_0030,sq_0030,max_excess_0030,act_0040,excess_0040,sq_0040,max_excess_0040,act_0050,excess_0050,sq_0050,max_excess_0050,act_0075,excess_0075,sq_0075,max_excess_0075,act_0100,excess_0100,sq_0100,max_excess_0100,act_0150,excess_0150,sq_0150,max_excess_0150
1032,NEW_COLLISION,56,5.6000000000000005,0.5,5,-0.042665586620569226,-0.05169185996055603,0.042665586620569226,0.05169185996055603,0.021332793310284617,0.0,0.018736591550987215,0.04363882914185524,0.009368295775493607,0.999999893257011,0,0.04323599120834842,0.4615138935547904,0.030291222035884857,0.010808997802087106,0.01688800659030676,0.007572805508971214,0.012843601405620575,4,0.01688800659030676,0.010808997802087106,0.5,0.0029706895630806683,1.809804473833002e-05,0.006888006590306759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070,SAFE,18,1.8,1.0,10,-0.059467796981334684,-0.07075778394937515,0.059467796981334684,0.07075778394937515,0.05946779698133469,0.0,0.014711717795580625,0.031936164945364,0.014711717795580627,0.0890398686188434,1,0.0868451101705432,0.5903124670696623,0.02059856429696083,0.00964945668561591,0.01764518115669489,0.0022887293663289812,0.0034314095973968506,9,0.01764518115669489,0.00964945668561591,0.4444444444444444,0.001518466669238276,8.348957268556671e-06,0.007645181156694889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070,SAFE,18,1.8,0.5,5,-0.05439264178276062,-0.056027602404356,0.05439264178276062,0.056027602404356,0.027196320891380313,0.0,0.014203214738517999,0.031936164945364,0.007101607369259,0.7758143239017651,0,0.03989655431360006,0.5617960360402552,0.005474299192428589,0.009974138578400016,0.01764518115669489,0.0013685747981071472,0.002783641219139099,4,0.01764518115669489,0.009974138578400016,0.5,0.002803634856827557,1.779727834567318e-05,0.007645181156694889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125,SAFE,74,7.4,3.0,30,0.007509164900208513,-0.1371428370475769,0.02374137632238368,0.1371428370475769,0.07122412896715105,0.09375162366777659,0.1181799526597994,0.5952214002609253,0.35453985797939824,0.5426836093053798,3,1.4555468307808042,0.41054532908396735,0.553252536803484,0.05019127002692428,0.5507809557020664,0.019077673682878757,0.18897132575511932,29,0.5507809557020664,0.05019127002692428,0.3448275862068966,0.04500166166509533,0.01372374844623208,0.5407809557020664,0.2413793103448276,0.04214900464333336,0.012854240822438629,0.5307809557020664,0.2413793103448276,0.03973521153988509,0.012035398660606444,0.5207809557020664,0.2413793103448276,0.03732141843643681,0.011264832360843224,0.5107809557020664,0.2413793103448276,0.03490762533298853,0.01054254192314897,0.5007809557020664,0.2413793103448276,0.028873142574367856,0.008948022725465058,0.4757809557020664,0.20689655172413793,0.023083023585636044,0.007653495969803191,0.45078095570206644,0.10344827586206896,0.016624527154811494,0.005698268967989871,0.4007809557020664
1125,SAFE,74,7.4,2.0,20,0.01719639953225851,-0.1371428370475769,0.027694489620625973,0.1371428370475769,0.05538897924125195,0.08978177830576897,0.17301417300477623,0.5952214002609253,0.3460283460095525,0.5449159630486926,2,1.3933604322373867,0.4026723371882944,0.4737582951784134,0.07333475959144141,0.5507809557020664,0.024934647114653336,0.18897132575511932,19,0.5507809557020664,0.07333475959144141,0.42105263157894735,0.06813484538542597,0.020943390963192615,0.5407809557020664,0.3684210526315789,0.06433269129771935,0.019619630728985274,0.5307809557020664,0.3684210526315789,0.060648480771403564,0.01836981900829404,0.5207809557020664,0.3684210526315789,0.056964270245087774,0.017193691498129125,0.5107809557020664,0.3684210526315789,0.05328005971877198,0.016091248198490532,0.5007809557020664,0.3684210526315789,0.044069533402982516,0.01365750837044667,0.4757809557020664,0.3157894736842105,0.03523198336754975,0.011681651743383818,0.45078095570206644,0.15789473684210525,0.02537427828892281,0.008697357898510855,0.4007809557020664
1125,SAFE,74,7.4,1.0,10,-0.026127276197075843,-0.1371428370475769,0.05538897924125195,0.1371428370475769,0.05538897924125195,0.029261703044176104,0.29259445052593946,0.5952214002609253,0.29259445052593946,0.8270500830567434,2,1.3635954298079014,0.46603598349062136,0.44096220284700394,0.15151060331198904,0.5507809557020664,0.04899580031633377,0.18897132575511932,9,0.5507809557020664,0.15151060331198904,0.7777777777777778,0.14359123718407418,0.044213267393761496,0.5407809557020664,0.7777777777777778,0.1358134594062964,0.041419220427857804,0.5307809557020664,0.7777777777777778,0.1280356816285186,0.038780729017509646,0.5207809557020664,0.7777777777777778,0.12025790385074082,0.03629779316271705,0.5107809557020664,0.7777777777777778,0.11248012607296307,0.03397041286348001,0.5007809557020664,0.7777777777777778,0.09303568162851863,0.02883251767094297,0.4757809557020664,0.6666666666666666,0.07437863155371613,0.024661264791588058,0.45078095570206644,0.3333333333333333,0.05356792083217038,0.01836108889685625,0.4007809557020664
1125,SAFE,74,7.4,0.5,5,-0.0016632311046123505,-0.09185206145048141,0.034796980768442155,0.09185206145048141,0.017398490384221078,0.016566874831914904,0.22573880515992642,0.4894474446773529,0.11286940257996321,0.7545082781289271,1,0.6051754280924797,0.5361731424971502,0.19485729932785034,0.15129385702311993,0.21632753312587738,0.048714324831962585,0.09236728027462959,4,0.21632753312587738,0.15129385702311993,1.0,0.14129385702311992,0.022024005434122276,0.20632753312587737,1.0,0.13129385702311994,0.01929812829365988,0.1963275331258774,1.0,0.12129385702311993,0.016772251153197477,0.18632753312587738,1.0,0.11129385702311993,0.014446374012735077,0.17632753312587737,1.0,0.10129385702311994,0.01232049687227268,0.1663275331258774,1.0,0.07629385702311992,0.007880804021116683,0.14132753312587737,0.75,0.05306549435481429,0.004678556374620474,0.11632753312587737,0.5,0.020332582946866753,0.0011561064045611394,0.06632753312587739
1177,SAFE,69,6.9,3.0,30,0.0028016440919600427,-0.019863836467266083,0.004842978455902387,0.019863836467266083,0.014528935367707163,0.02293386764358729,0.004515052260830999,0.009759830310940742,0.013545156782492997,0.33024575767117337,0,0.1625773417763412,1.200261705230714,0.103055439889431,0.005606115233666938,0.017373766750097275,0.0035536358582562416,0.010534430854022503,29,0.017373766750097275,0.005606115233666938,0.1724137931034483,0.0004592170103870589,2.517538171489915e-06,0.007373766750097275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1177,SAFE,69,6.9,2.0,20,-0.0020058020891156048,-0.019863836467266083,0.0072644676838535815,0.019863836467266083,0.014528935367707163,0.010517331189475954,0.004758747725281865,0.009759830310940742,0.00951749545056373,0.598005376451381,0,0.10616664355620742,1.1154891846575796,0.06497809966094792,0.0055877180819056535,0.017373766750097275,0.0034198999821551538,0.010534430854022503,19,0.017373766750097275,0.0055877180819056535,0.15789473684210525,0.0006520710410060067,3.8091347811114475e-06,0.007373766750097275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1177,SAFE,69,6.9,1.0,10,0.00845273733139038,-0.007787867449223995,0.0020645938580855726,0.007787867449223995,0.0020645938580855726,0.010517331189475954,0.0045282869599759575,0.009279427118599415,0.004528286959975958,0.7192936414596095,0,0.041981359012424946,0.9270911961316134,0.03449798095971346,0.004664595445824994,0.014154468197375536,0.0038331089955237177,0.007641857722774148,9,0.014154468197375536,0.004664595445824994,0.1111111111111111,0.00046160757748617065,1.9177340003338593e-06,0.004154468197375536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
