model,scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,expected_episode_length,actual_episode_length,action_accel,action_steer,abs_steer,brake_strength,throttle_strength,delta_accel,delta_steer,abs_delta_accel,abs_delta_steer,risk_object_index,risk_distance,risk_static_clearance,risk_predicted_clearance,risk_dcpa,risk_tcpa_raw,risk_tcpa_clipped,risk_future_tcpa,risk_approaching,risk_closing_speed,second_object_index,second_distance,second_static_clearance,second_predicted_clearance,second_dcpa,second_future_tcpa,second_approaching,top2_mean_predicted_clearance,second_minus_first_pred_gap,num_pred_conflict_0,num_pred_conflict_1,num_pred_conflict_2,min_future_tcpa_conflict_0,min_future_tcpa_conflict_1,min_future_tcpa_conflict_2
V28,1424,LATE_OFFROAD,78,7.800000000000001,3.0,48,4.800000000000001,78,78,0.008464774116873741,-0.004986550193279982,0.004986550193279982,0.0,0.008464774116873741,-0.0026694266125559807,-0.0046877446584403515,0.0026694266125559807,0.0046877446584403515,5,73.78157569241507,62.02313462541534,9.29563510909631,21.054076176096043,2.780297238956847,2.780297238956847,2.780297238956847,1,24.3764049447169,5,73.78157569241507,62.02313462541534,9.29563510909631,21.054076176096043,2.780297238956847,1,9.29563510909631,0.0,0,0,0,5.0,5.0,5.0
V28,1424,LATE_OFFROAD,78,7.800000000000001,2.0,58,5.800000000000001,78,78,-0.10504533350467682,0.022533288225531578,0.022533288225531578,0.10504533350467682,0.0,-0.0027258992195129395,-0.007956787943840027,0.0027258992195129395,0.007956787943840027,4,7.504596208350304,0.4721875788353813,0.36187342884634166,7.394282058361265,1.119597998766602,1.119597998766602,1.119597998766602,1,0.19561193607239014,5,49.73892877787577,37.980487710876034,8.927352649876191,20.685793716875924,1.7943053013995753,1,4.644613039361266,8.56547922102985,0,1,1,5.0,1.119597998766602,1.119597998766602
V28,1424,LATE_OFFROAD,78,7.800000000000001,1.0,68,6.800000000000001,78,78,-0.007846358232200146,-0.021981576457619667,0.021981576457619667,0.007846358232200146,0.0,-0.005738189909607172,0.002854570746421814,0.005738189909607172,0.002854570746421814,4,7.066253245559783,0.03384461604485978,0.030387470294871655,7.062796099809795,0.20494454127637446,0.20494454127637446,0.20494454127637446,1,0.03372912524281546,5,29.08592483416232,17.327483767162587,9.119012597875063,20.877453664874796,0.8131076577724731,1,4.574700034084968,9.08862512758019,0,1,1,5.0,0.20494454127637446,0.20494454127637446
V28,1424,LATE_OFFROAD,78,7.800000000000001,0.5,73,7.300000000000001,78,78,0.012689445167779922,-0.08823538571596146,0.08823538571596146,0.0,0.012689445167779922,0.0012894943356513977,0.0024308040738105774,0.0012894943356513977,0.0024308040738105774,5,22.140966785033335,10.382525718033602,9.003347255252567,20.7617883222523,0.31275460001750627,0.31275460001750627,0.31275460001750627,1,8.544868085226323,5,22.140966785033335,10.382525718033602,9.003347255252567,20.7617883222523,0.31275460001750627,1,9.003347255252567,0.0,0,0,0,5.0,5.0,5.0
V28,2101,EARLY_COLLISION,20,2.0,2.0,0,0.0,20,20,-0.17417019605636597,-0.13046054542064667,0.13046054542064667,0.17417019605636597,0.0,,,,,6,30.693663465915417,21.716065465233754,-5.030089682879005,3.947508317802658,1.5570884667423612,1.5570884667423612,1.5570884667423612,1,19.386165620626205,4,4.462354627012485,-0.6722068348943546,-1.568084446694538,3.5664770152123015,0.1371945433506844,1,-3.2990870647867716,3.462005236184467,4,4,4,0.1371945433506844,0.1371945433506844,0.1371945433506844
V28,2101,EARLY_COLLISION,20,2.0,1.0,10,1.0,20,20,-0.3466726839542389,0.06410764157772064,0.06410764157772064,0.3466726839542389,0.0,-0.006639212369918823,-0.014272958040237427,0.006639212369918823,0.014272958040237427,6,13.432478411119522,4.454880410437859,-3.9020364383573147,5.075561562324348,0.7008515157955235,0.7008515157955235,0.7008515157955235,1,16.429499805156105,2,4.828320960663639,-0.2179243658858061,-2.415467936170917,2.6307773903785283,1.061614995859154,1,-3.158752187264116,1.486568502186398,4,5,6,0.7008515157955235,0.7008515157955235,0.7008515157955235
V28,2101,EARLY_COLLISION,20,2.0,0.5,15,1.5,20,20,-0.5225152373313904,0.033519912511110306,0.033519912511110306,0.5225152373313904,0.0,-0.014697611331939697,0.02347748726606369,0.014697611331939697,0.02347748726606369,2,3.403268226432935,-1.6429771001165103,-3.37192245873128,1.6743228678181648,0.6328474150356089,0.6328474150356089,0.6328474150356089,1,4.076090351400172,6,6.668991190375059,-2.308606810306604,-3.3501565940351226,5.627441406646541,0.21810974602985314,1,-3.3610395263832014,0.0217658646961576,3,3,3,0.21810974602985314,0.21810974602985314,0.21810974602985314
V28,2139,EARLY_COLLISION,11,1.1,1.0,1,0.1,11,11,-0.18882502615451813,-0.030192364007234573,0.030192364007234573,0.18882502615451813,0.0,-0.0322442501783371,-0.0027714259922504425,0.0322442501783371,0.0027714259922504425,13,9.16760277018893,-0.0861762813288216,-5.189402215546897,4.0643768359708545,1.984286587144755,1.984286587144755,1.984286587144755,1,3.7120125436789486,10,3.72474636785131,-2.1861142660980253,-2.555974557797325,3.35488607615201,5.0,0,-3.8726883866721113,2.633427657749572,4,4,4,1.984286587144755,1.984286587144755,1.984286587144755
V28,2139,EARLY_COLLISION,11,1.1,0.5,6,0.6000000000000001,11,11,-0.16744551062583923,-0.030421586707234383,0.030421586707234383,0.16744551062583923,0.0,0.009875088930130005,0.006675051525235176,0.009875088930130005,0.006675051525235176,13,7.647135118890394,-1.6066439326273576,-5.400354981846494,3.853424069671258,1.855966116751544,1.855966116751544,1.855966116751544,1,3.0740745800539937,41,10.613141245867165,4.672406445421881,-3.2955020532557584,2.645232747189526,5.0,0,-4.347928517551126,2.1048529285907356,3,4,4,1.855966116751544,1.855966116751544,1.855966116751544
V28,2747,LATE_OFFROAD,46,4.6000000000000005,3.0,16,1.6,46,46,0.02570243738591671,-0.002925543813034892,0.002925543813034892,0.0,0.02570243738591671,-0.007717518135905266,-0.0030291143339127302,0.007717518135905266,0.0030291143339127302,5,99.3201405210453,87.42263150691079,87.42263150691079,99.3201405210453,-3.8487749265425757,0.0,5.0,0,-24.67959423325672,5,99.3201405210453,87.42263150691079,87.42263150691079,99.3201405210453,5.0,0,87.42263150691079,0.0,0,0,0,5.0,5.0,5.0
