scenario_index,V25_RideFlux,V26_RideFlux,Delta_RideFlux,V25_Progress,V26_Progress,Delta_Progress,V25_Comfort,V26_Comfort,Delta_Comfort,V25_Collision,V26_Collision,Delta_Collision,V25_Overlap,V26_Overlap,Delta_Overlap,V25_OffroadBox,V26_OffroadBox,Delta_OffroadBox,V25_Accuracy,V26_Accuracy,Delta_Accuracy,V25_BasePC,V26_BasePC,Delta_BasePC
56,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
57,0.90999997,0.96250004,0.05250007000000001,0.99999994,0.99999994,0.0,0.7,0.875,0.17500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.909999958,0.962499958,0.05249999999999999
58,0.88922065,0.84487385,-0.04434679999999991,0.88995796,0.77839106,-0.11156690000000002,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8892205719999999,0.8448737419999999,-0.04434683000000006
59,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1.0,1.0,0.0
61,0.93872947,1.0,0.061270530000000045,0.9499706,1.0,0.0500294,0.9125,1.0,0.08750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.93872942,1.0,0.06127057999999996
62,0.8812254,0.90372545,0.022500049999999994,0.8624649,0.8624649,0.0,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.88122543,0.9037254299999999,0.022499999999999964
63,0.97749996,0.9668712,-0.010628759999999904,1.0,0.9526731,-0.04732689999999995,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9775,0.9668711699999999,-0.010628830000000145
64,0.8539759,0.8598488,0.005872899999999959,0.8878227,0.7997839,-0.08803879999999997,0.77500004,1.0,0.22499996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.853975902,0.85984873,0.005872827999999997
65,0.9604101,1.0,0.039589899999999956,0.9434431,1.0,0.05655690000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9604101699999998,1.0,0.03958983000000016
66,0.9075143,0.8479704,-0.05954389999999998,0.91609186,0.83102906,-0.0850628,0.8875,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9075143019999999,0.847970342,-0.05954395999999995
67,0.8619682,0.9079833,0.046015100000000086,0.851026,0.90069044,0.04966444000000003,0.8875,0.925,0.03750000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8619682,0.9079833079999999,0.04601510799999997
68,0.87250006,1.0,0.12749993999999998,1.0,1.0,0.0,0.575,1.0,0.42500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.8724999999999999,1.0,0.12750000000000006
69,0.7914735,0.8477235,0.05624999999999991,0.7824621,0.7824621,0.0,0.8125,1.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.79147347,0.84772347,0.05625000000000002
70,0.97375005,1.0,0.026249949999999966,1.0,1.0,0.0,0.9125,1.0,0.08750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.9737499999999999,1.0,0.026250000000000107
