scenario_index,group,reference_step,reference_seconds,window_s,window_steps,mean_accel,min_accel,mean_brake,max_brake,brake_impulse,throttle_impulse,mean_abs_steer,max_abs_steer,steer_effort,steer_persistence,steer_sign_flips,steer_total_variation,steer_variation_ratio,accel_total_variation,mean_abs_delta_steer,max_abs_delta_steer,mean_abs_delta_accel,max_abs_delta_accel
2406,SAFE,30,3.0,2.0,20,0.10783401541411877,0.053712449967861176,0.0,0.0,0.0,0.21566803082823754,0.029935721820220352,0.07299762219190598,0.059871443640440704,0.8860209146960075,3,0.4001841440331191,0.6684056922902627,0.21052942425012589,0.02106232337016416,0.06898120976984501,0.01108049601316452,0.03125181794166565
2406,SAFE,30,3.0,1.0,10,0.11172758415341377,0.053712449967861176,0.0,0.0,0.0,0.11172758415341377,0.03567096702754498,0.05907882750034332,0.03567096702754498,0.9999999719659977,0,0.14253118634223938,0.39957196068292117,0.11555642634630203,0.01583679848247104,0.03461777605116367,0.012839602927366892,0.03125181794166565
2406,SAFE,30,3.0,0.5,5,0.07496254295110702,0.053712449967861176,0.0,0.0,0.0,0.03748127147555352,0.031125683337450027,0.04667385295033455,0.015562841668725014,0.9999999357443867,0,0.048779625445604324,0.3134364748390828,0.042479269206523895,0.012194906361401081,0.02142307162284851,0.010619817301630974,0.016164861619472504
2408,FIXED_COLLISION,67,6.7,3.0,30,-0.03213078530970961,-0.16998642683029175,0.044340341724455355,0.16998642683029175,0.1330210251733661,0.036628669244237244,0.068122597807087,0.3263919949531555,0.20436779342126102,0.3172392306211149,3,1.6532354257069528,0.8089510533637004,0.5747488581109792,0.05700811812782596,0.3998228460550308,0.019818926141757905,0.07234041392803192
2408,FIXED_COLLISION,67,6.7,2.0,20,-0.030687629245221615,-0.16998642683029175,0.048821837175637484,0.16998642683029175,0.09764367435127497,0.03626841586083174,0.08149360800161957,0.3263919949531555,0.16298721600323918,0.5786525529838975,2,1.4186595091596246,0.8704115176906362,0.4774305000901222,0.07466628995576971,0.3998228460550308,0.025127921057374852,0.07234041392803192
2408,FIXED_COLLISION,67,6.7,1.0,10,-0.000609249621629715,-0.06281313300132751,0.021782401762902737,0.06281313300132751,0.021782401762902737,0.02117315214127302,0.07705840244889259,0.21970026195049286,0.0770584024488926,0.99999998702283,0,0.3519114628434181,0.4566814871486614,0.12509401142597198,0.03910127364926868,0.1333087459206581,0.013899334602885775,0.027353186160326004
2408,FIXED_COLLISION,67,6.7,0.5,5,-0.043564803525805475,-0.06281313300132751,0.043564803525805475,0.06281313300132751,0.021782401762902737,0.0,0.11368244290351867,0.21970026195049286,0.05684122145175934,0.9999999824071341,0,0.3033933714032173,0.5337558875703362,0.04646035097539425,0.07584834285080433,0.1333087459206581,0.011615087743848562,0.020486881956458092
2451,SAFE,36,3.6,3.0,30,-0.068860163881133,-0.17465035617351532,0.07833069389065107,0.17465035617351532,0.2349920816719532,0.0284115900285542,0.015753448801115157,0.04581153020262718,0.04726034640334547,0.42371404156548914,8,0.7158073512837291,1.5146045059183346,0.3490644842386246,0.024683012113232036,0.06606913544237614,0.01203670635305602,0.05078090727329254
2451,SAFE,36,3.6,2.0,20,-0.03148129074834287,-0.1260174810886383,0.04568708576261997,0.1260174810886383,0.09137417152523995,0.0284115900285542,0.01757172802463174,0.04581153020262718,0.03514345604926348,0.2716411657247953,8,0.5535886087454855,1.5752252488122465,0.19879522919654846,0.029136242565551872,0.06606913544237614,0.01046290679981834,0.032201942056417465
2451,SAFE,36,3.6,1.0,10,0.025146143976598978,-0.03242820128798485,0.003265446051955223,0.03242820128798485,0.003265446051955223,0.0284115900285542,0.024620758835226297,0.04581153020262718,0.024620758835226297,0.18007370069979003,6,0.3819574359804392,1.551363315091321,0.10490396246314049,0.04243971510893769,0.06606913544237614,0.011655995829237832,0.032201942056417465
2451,SAFE,36,3.6,0.5,5,0.0446633405983448,0.023500241339206696,0.0,0.0,0.0,0.022331670299172404,0.027286852337419988,0.04581153020262718,0.013643426168709994,0.19818974425835742,3,0.1906373118981719,1.3972831718952692,0.03246963396668434,0.047659327974542975,0.06395580060780048,0.008117408491671085,0.02601175382733345
2460,NEW_COLLISION,41,4.1000000000000005,3.0,30,-0.3151650905609131,-0.4174920916557312,0.3151650905609131,0.4174920916557312,0.9454952716827393,0.0,0.321194330851237,0.42216578125953674,0.9635829925537109,0.9999999989622066,0,0.3083833307027817,0.032003816253072144,0.5956210643053055,0.010633907955268333,0.07713711261749268,0.02053865738983812,0.11691021919250488
2460,NEW_COLLISION,41,4.1000000000000005,2.0,20,-0.3664372190833092,-0.4174920916557312,0.3664372190833092,0.4174920916557312,0.7328744381666183,0.0,0.3439329981803894,0.42216578125953674,0.6878659963607788,0.9999999985462285,0,0.14754047989845276,0.021449014846574726,0.2791612446308136,0.00776528841570804,0.04331409931182861,0.014692697085832295,0.11691021919250488
