scenario_index,v17_RideFlux,v24_RideFlux,delta_RideFlux,v17_Progress,v24_Progress,delta_Progress,v17_Comfort,v24_Comfort,delta_Comfort,v17_Collision,v24_Collision,delta_Collision,v17_Overlap,v24_Overlap,delta_Overlap,v17_OffroadBox,v24_OffroadBox,delta_OffroadBox,v17_Accuracy,v24_Accuracy,delta_Accuracy,offroad_fixed_by_v24,offroad_new_in_v24,overlap_fixed_by_v24,overlap_new_in_v24,collision_fixed_by_v24,collision_new_in_v24
39,0.82234824,0.9049277,0.08257946000000005,0.79978323,0.9123967,0.11261347,0.875,0.8875,0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
40,0.79595655,0.79068106,-0.005275489999999938,0.83172363,0.81883,-0.0128936300000001,0.71250004,0.725,0.012499959999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
41,0.93117565,0.8442667,-0.08690894999999998,0.9873938,0.9114525,-0.07594129999999999,0.8,0.6875,-0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
42,0.9013819,0.8275,-0.07388189999999994,0.90733135,0.99999994,0.09266859000000005,0.8875,0.425,-0.46249999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
43,0.83982414,0.7735681,-0.06625604000000007,0.82474875,0.7622402,-0.06250855,0.875,0.8,-0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
44,0.8078238,0.6555521,-0.1522717,0.89689106,0.9097173,0.012826239999999989,0.6,0.0625,-0.5375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
45,0.78739595,0.836146,0.04875004999999999,0.86235136,0.86235136,0.0,0.6125,0.77500004,0.16250003999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
46,0.81084216,0.8749882,0.06414604000000002,0.8154887,0.90176874,0.08628004,0.8,0.8125,0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
47,0.92202467,0.84699726,-0.07502741000000002,0.9368209,0.8617818,-0.07503909999999991,0.8875,0.8125,-0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
48,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
49,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
50,0.8513069,0.83805484,-0.01325206000000001,0.84115267,0.95079273,0.10964005999999993,0.875,0.575,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
51,0.0,0.9670286,0.9670286,1.0,0.952898,-0.04710199999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0,1,1,True,False,False,False,False,False
52,0.6393786,0.0,-0.6393786,0.6294694,0.42803386,-0.20143553999999997,0.6625,0.39583334,-0.26666666,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,-1,False,False,False,True,False,True
53,0.9356796,0.8815565,-0.05412309999999998,0.9616851,0.83079493,-0.13089016999999992,0.875,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
54,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
55,0.7928626,0.85914797,0.06628537000000001,0.8755179,0.86306846,-0.012449439999999923,0.6,0.85,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
56,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
57,0.92374927,0.4996868,-0.42406246999999997,0.987499,0.34955254,-0.63794646,0.77500004,0.85,0.07499995999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
58,0.8186125,0.84597284,0.027360339999999983,0.7408749,0.8281754,0.0873005,1.0,0.8875,-0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
59,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
60,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
61,0.95500004,0.88560766,-0.06939238000000003,1.0,0.8847966,-0.11520339999999996,0.85,0.8875,0.03749999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
62,0.78867334,0.8174882,0.028814859999999998,0.79989046,0.93748313,0.13759267000000008,0.7625,0.5375,-0.22499999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
63,0.9497208,0.92395365,-0.025767150000000072,0.9763869,0.9395767,-0.036810199999999904,0.8875,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
64,0.88627416,0.8412741,-0.04500006000000001,0.8375344,0.8375344,0.0,1.0,0.85,-0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,False,False,False,False,False,False
