scenario_index,episode_length_v17,accuracy_v17,at_fault_collision_v17,comfort_v17,distance_into_oncoming_traffic_v17,nuplan_driving_direction_compliance_v17,log_divergence_v17,offroad_v17,offroad_in_box_v17,distance_on_multiple_lanes_v17,time_on_multiple_lanes_v17,multiple_lanes_score_v17,overlap_v17,progress_ratio_v17,making_progress_v17,run_red_light_v17,sdc_off_route_v17,sdc_progression_v17,sdc_wrongway_v17,max_overspeed_m_per_s_v17,max_overspeed_km_per_h_v17,nuplan_speed_compliance_v17,min_ttc_v17,average_ttc_v17,ttc_within_bound_v17,nuplan_aggregate_score_v17,vmax_aggregate_score_v17,rideflux_aggregate_score_v17,episode_length_v25,accuracy_v25,at_fault_collision_v25,comfort_v25,distance_into_oncoming_traffic_v25,nuplan_driving_direction_compliance_v25,log_divergence_v25,offroad_v25,offroad_in_box_v25,distance_on_multiple_lanes_v25,time_on_multiple_lanes_v25,multiple_lanes_score_v25,overlap_v25,progress_ratio_v25,making_progress_v25,run_red_light_v25,sdc_off_route_v25,sdc_progression_v25,sdc_wrongway_v25,max_overspeed_m_per_s_v25,max_overspeed_km_per_h_v25,nuplan_speed_compliance_v25,min_ttc_v25,average_ttc_v25,ttc_within_bound_v25,nuplan_aggregate_score_v25,vmax_aggregate_score_v25,rideflux_aggregate_score_v25,d_RideFlux,d_Progress,d_Comfort,d_Collision,d_Overlap,d_OffroadBox,d_Accuracy,V25_PrimaryFailure
20,80,1,0.0,0.875,0.0,1.0,15.185312,1.0,0.0,102.85208,6.0,0.0,0.0,0.7749516,1.0,0.0,0.0,0.0,0.0,1.6155834,5.8161,0.9400341,5.0,5.0,1.0,0.0,0.0,0.80496615,80,1,0.0,0.8875,0.0,1.0,14.179034,1.0,0.0,133.64725,7.5,0.0,0.0,0.8124565,1.0,0.0,0.0,0.0,0.0,1.757946,6.3286057,0.9379615,5.0,5.0,1.0,0.0,0.0,0.8349695,0.030003349999999984,0.03750490000000006,0.012499999999999956,0.0,0.0,0.0,0,PASS
21,80,1,0.0,1.0,0.0,1.0,2.0162022,1.0,0.0,5.6552353,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,80,1,0.0,1.0,0.0,1.0,1.8541472,1.0,0.0,3.4200716,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,PASS
22,80,1,0.0,1.0,0.0,1.0,0.2651089,1.0,0.0,0.25626075,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,4.9762497,1.0,0.0,0.0,1.0,80,1,0.0,1.0,0.0,1.0,1.4656098,1.0,0.0,2.024791,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,PASS
23,80,1,0.0,0.8875,0.0,1.0,10.781614,0.0,0.0,135.4407,8.0,0.0,0.0,0.82487917,1.0,0.0,0.0,0.0,0.0,0.26255798,0.9452087,0.9969474,5.0,5.0,1.0,0.930449,0.783536,0.8436654,80,1,0.0,0.8875,0.0,1.0,2.5011847,1.0,0.0,158.03003,7.9,0.0,0.0,0.9749908,1.0,0.0,0.0,0.0,0.0,0.31385994,1.1298958,0.9827882,5.0,5.0,1.0,0.0,0.0,0.9487435,0.10507809999999995,0.15011163000000005,0.0,0.0,0.0,0.0,0,PASS
24,27,0,1.0,0.6296296,0.0,1.0,2.2054486,0.0,0.0,42.35717,2.7,1.0,1.0,0.3193352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.8,0.0,0.0,0.0,0.0,80,1,0.0,0.4375,0.0,1.0,2.4926846,0.0,0.0,128.70143,8.0,0.0,0.0,0.9859307,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,4.31625,1.0,0.9252908,0.77919227,0.82140154,0.82140154,0.6665955000000001,-0.1921296,-1.0,-1.0,0.0,1,LOW_COMFORT
25,80,1,0.0,0.8625,0.0,1.0,11.901898,0.0,0.0,65.6747,6.9,0.0,0.0,0.72693396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.8974794,0.7557722,0.7676038,80,1,0.0,0.8875,0.0,1.0,5.452329,0.0,0.0,24.378635,2.1,1.0,0.0,0.8509213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.93935037,0.9489266,0.8618949,0.09429110000000007,0.12398734,0.02499999999999991,0.0,0.0,0.0,0,PASS
26,80,1,0.0,1.0,0.0,1.0,0.07736154,0.0,0.0,0.1138025,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.8,4.99125,1.0,1.0,0.84210527,1.0,80,1,0.0,1.0,0.0,1.0,1.0526278,0.0,0.0,1.3540838,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,4.9825,1.0,1.0,0.84210527,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,PASS
27,80,1,0.0,0.8875,9.262033,0.0,3.0519621,1.0,0.0,61.253334,8.0,0.0,0.0,0.9417385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.92546695,80,1,0.0,0.8125,0.0,1.0,2.6725483,1.0,0.0,57.817802,7.9,0.0,0.0,0.89436287,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1000001,4.7612505,1.0,0.0,0.0,0.869804,-0.05566294999999999,-0.04737563,-0.07499999999999996,0.0,0.0,0.0,0,PASS
28,80,1,0.0,0.925,0.0,1.0,12.450792,1.0,0.0,78.50845,8.0,0.0,0.0,0.69889396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1,4.91,1.0,0.0,0.0,0.7667258,80,1,0.0,0.875,0.0,1.0,4.7743645,1.0,0.0,73.91755,6.4,0.0,0.0,0.8497007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.85729045,0.09056465000000002,0.15080673999999994,-0.050000000000000044,0.0,0.0,0.0,0,PASS
29,14,0,1.0,0.5714286,0.0,1.0,0.3739709,1.0,0.0,25.501446,1.4,1.0,1.0,0.18427512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6,0.0,0.0,0.0,0.0,80,1,0.0,0.4125,0.0,1.0,13.099277,1.0,0.0,166.51382,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.464653,8.87275,0.62367773,1.5,4.95625,1.0,0.0,0.0,0.82375,0.82375,0.81572488,-0.15892859999999998,-1.0,-1.0,0.0,1,LOW_COMFORT
