scenario_index,group,reference_step,reference_seconds,lead_s,frame,time_from_start_s,action_accel,action_steer,brake_strength,throttle_strength,abs_steer,delta_accel,delta_steer,abs_delta_accel,abs_delta_steer,accel_change_excess,steer_change_excess,smooth_excess,risk_object_index,risk_distance,risk_static_clearance,risk_predicted_clearance,risk_dcpa,risk_tcpa_raw,risk_tcpa_clipped,risk_future_tcpa,risk_approaching,risk_closing_speed,second_object_index,second_distance,second_static_clearance,second_predicted_clearance,second_dcpa,second_future_tcpa,second_approaching,top2_mean_predicted_clearance,second_minus_first_pred_gap,num_pred_conflict_0,num_pred_conflict_1,num_pred_conflict_2,min_future_tcpa_conflict_0,min_future_tcpa_conflict_1,min_future_tcpa_conflict_2,risk_relative_x,risk_relative_y,risk_relative_vx,risk_relative_vy,risk_closest_x,risk_closest_y
278,FIXED_COLLISION,78,7.800000000000001,2.0,58,5.800000000000001,-0.18183353543281555,-0.042395174503326416,0.18183353543281555,0.0,0.042395174503326416,0.002982199192047119,-0.0011027194559574127,0.002982199192047119,0.0011027194559574127,0.0,0.0,0.0,11,7.750761435244717,-1.5684078752787816,-5.834104084958572,3.485065225564927,2.567199297834342,2.567199297834342,2.567199297834342,1,2.4087459562740654,1,5.409648037961633,-3.841870769260325,-3.841870769260325,5.409648037961633,5.0,0,-4.837987427109448,1.9922333156982468,4,6,6,2.567199297834342,1.1123733785802554,1.1123733785802554,-6.857421875,3.61248779296875,2.696271538734436,-0.049866973913069046,0.06444452600976547,3.4844693325539957
278,FIXED_COLLISION,78,7.800000000000001,1.0,68,6.800000000000001,-0.11028686910867691,-0.03603285551071167,0.11028686910867691,0.0,0.03603285551071167,0.018107779324054718,-0.00012914463877677917,0.018107779324054718,0.00012914463877677917,0.0,0.0,0.0,30,21.216084921166736,12.008460982315217,-6.179442386023387,3.0281815528281317,4.838836701146558,4.838836701146558,4.838836701146558,1,4.295220620132754,5,5.089404020267261,-4.16875231117391,-5.883494595716348,3.3746617357248234,1.1449355482976795,1,-6.031468490869868,0.2959477903070393,6,7,8,1.1449355482976795,0.15475196474471067,0.15475196474471067,-20.9443359375,3.38482666015625,4.339024245738983,-0.07379520821802288,0.051493829946554825,3.0277436982621286
278,FIXED_COLLISION,78,7.800000000000001,0.5,73,7.300000000000001,-0.024368636310100555,-0.02396572008728981,0.024368636310100555,0.0,0.02396572008728981,0.0031032245606184006,0.001714574173092842,0.0031032245606184006,0.001714574173092842,0.0,0.0,0.0,30,19.298517116689595,10.090893177838076,-6.047850607166507,3.1597733316850123,4.396738138420913,4.396738138420913,4.396738138420913,1,4.271612817669345,5,3.904241915970074,-5.353914415471097,-5.832185025790299,3.425971305650872,0.5106028651149075,1,-5.940017816478402,0.21566558137620806,5,6,7,0.5106028651149075,0.5106028651149075,0.5106028651149075,-19.01446533203125,3.298919677734375,4.329931199550629,-0.03166684973620093,0.0231083097716116,3.159688831775576
309,SAFE,64,6.4,3.0,34,3.4000000000000004,-0.012331970036029816,-0.02351512387394905,0.012331970036029816,0.0,0.02351512387394905,0.00038815103471279144,-2.8487294912338257e-05,0.00038815103471279144,2.8487294912338257e-05,0.0,0.0,0.0,1,4.0814326258052045,-1.1126649679957898,-1.1271968657651543,4.06690072803584,526.1884077851579,5.0,5.0,0,0.002915055351954129,3,4.983286089228069,-0.15322983818450275,-0.15322983818450275,4.983286089228069,5.0,0,-0.6402133519748285,0.9739670275806516,2,3,3,5.0,5.0,5.0,-2.5020751953125,3.22454833984375,0.004755093716084957,5.864031482616383e-12,-2.478299726732075,3.22454833987307
309,SAFE,64,6.4,2.0,44,4.4,-0.01062267366796732,-0.024926315993070602,0.01062267366796732,0.0,0.024926315993070602,1.4871358871459961e-05,-0.00014410912990570068,1.4871358871459961e-05,0.00014410912990570068,0.0,0.0,0.0,1,4.078110079235895,-1.1159875145650995,-1.129308058895389,4.064789534905605,570.9426804364214,5.0,5.0,0,0.0026714554711998076,9,28.425687367984562,19.896410147517138,-0.5518332238890835,7.977443996578341,4.983535397328191,1,-0.8405706413922363,0.5774748350063055,3,4,4,4.983535397328191,4.983535397328191,4.983535397328191,-2.4940185546875,3.2265853881835938,0.004368246998637915,-1.2932212245519992e-10,-2.4721773196943104,3.226585387536983
309,SAFE,64,6.4,1.0,54,5.4,-0.011136830784380436,-0.027081605046987534,0.011136830784380436,0.0,0.027081605046987534,0.00019793584942817688,6.257183849811554e-05,0.00019793584942817688,6.257183849811554e-05,0.0,0.0,0.0,9,23.414873736238185,14.88559651577076,-7.343297500899265,1.1859797195681592,4.781996130163313,4.781996130163313,4.781996130163313,1,4.883902537527669,1,4.072881866958454,-1.1212157268425402,-1.1355748062123414,4.058522787588653,5.0,0,-4.239436153555803,6.2077226946869235,3,4,4,4.781996130163313,4.781996130163313,4.781996130163313,9.0657958984375,21.588600158691406,-2.119326639920473,-4.40707492830931,-1.0688158922142197,0.5139849061765247
309,SAFE,64,6.4,0.5,59,5.9,-0.00971808098256588,-0.027136344462633133,0.00971808098256588,0.0,0.027136344462633133,0.00012329686433076859,-2.822093665599823e-05,0.00012329686433076859,2.822093665599823e-05,0.0,0.0,0.0,9,20.955393940016588,12.426116719549164,-4.550278507755323,3.978998712712102,4.27368888301086,4.27368888301086,4.27368888301086,1,4.726563958878618,1,4.069828313948167,-1.124269279852827,-1.1288233514038621,4.065274242397132,5.0,0,-2.8395509295795924,3.4214551563514606,3,4,4,4.27368888301086,4.27368888301086,4.27368888301086,7.9034423828125,19.4078369140625,-2.6292501339921728,-4.032746314983002,-3.333154685484663,2.1731338197166323
357,SAFE,21,2.1,2.0,1,0.1,-0.0009973268024623394,0.07771549373865128,0.0009973268024623394,0.0,0.07771549373865128,0.04608819307759404,-0.010397158563137054,0.04608819307759404,0.010397158563137054,0.0,0.0,0.0,3,13.432424851090593,4.194233222434018,4.194233222434018,13.432424851090593,-3.38099877082381,0.0,5.0,0,-1.55569580564182,1,37.972612723979054,28.802531316842032,12.237780647883511,21.407862055020534,5.0,0,8.216006935158765,8.043547425449493,0,0,0,5.0,5.0,5.0,13.1285400390625,2.841033935546875,1.9306507110595703,-1.5662812420059709,13.1285400390625,2.841033935546875
357,SAFE,21,2.1,1.0,11,1.1,0.02552732080221176,-0.017405666410923004,0.0,0.02552732080221176,0.017405666410923004,-0.0020876824855804443,-0.005167493596673012,0.0020876824855804443,0.005167493596673012,0.0,0.0,0.0,3,15.756837918258084,6.518646289601509,6.518646289601509,15.756837918258084,-5.581150719511277,0.0,5.0,0,-2.5353202195372395,1,35.13587724612053,25.965795838983507,12.705801537630443,21.875882944767465,5.0,0,9.612223913615976,6.187155248028933,0,0,0,5.0,5.0,5.0,15.643310546875,1.8880615234375,2.619426727294922,-0.5444080963297893,15.643310546875,1.8880615234375
357,SAFE,21,2.1,0.5,16,1.6,0.03553633764386177,-0.005351588595658541,0.0,0.03553633764386177,0.005351588595658541,-0.002575267106294632,-0.00985110504552722,0.002575267106294632,0.00985110504552722,0.0,0.0,0.0,3,16.97200067198385,7.733809043327275,7.733809043327275,16.97200067198385,-6.509683655751642,0.0,5.0,0,-2.390228825440805,1,33.82822912015155,24.658147713014525,12.495921013466905,21.666002420603927,5.0,0,10.114865028397091,4.76211197013963,0,0,0,5.0,5.0,5.0,16.86083984375,1.939300537109375,2.456859588623047,-0.44229906317497125,16.86083984375,1.939300537109375
