scenario_index,v26_rf,v27_rf,delta_rf,v26_progress,v27_progress,delta_progress,v26_comfort,v27_comfort,delta_comfort,v26_collision,v27_collision,v26_overlap,v27_overlap,v26_offroad,v27_offroad,v26_accuracy,v27_accuracy
91,0.96625006,0.92026275,-0.04598731,1.0,0.9182325,-0.08176749999999999,0.8875,0.925,0.03750000000000009,0.0,0.0,0.0,0.0,0.0,0.0,1,1
92,0.88113636,0.8991915,0.01805514000000008,0.8301947,0.8559878,0.025793100000000013,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
93,0.0,0.96999997,0.96999997,0.6472869,1.0,0.3527131,1.0,0.90000004,-0.09999996,0.0,0.0,0.0,0.0,1.0,0.0,0,1
94,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
95,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
96,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
97,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
98,0.94033396,0.94033396,0.0,0.9147628,0.9147628,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
99,0.89728224,0.90126085,0.0039786099999999935,0.85326034,0.89108694,0.037826600000000044,1.0,0.925,-0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1
100,0.94837856,0.9408787,-0.007499860000000025,0.9744695,0.9744695,0.0,0.8875,0.8625,-0.02499999999999991,0.0,0.0,0.0,0.0,0.0,0.0,1,1
101,0.9483542,0.9553303,0.00697609999999993,0.9744346,0.93618613,-0.03824847000000009,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1,1
102,0.9218258,0.93051165,0.008685849999999995,0.8883225,0.90073097,0.012408470000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
103,0.9124007,0.9211445,0.00874380000000008,0.87485814,0.8873493,0.012491160000000057,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
104,0.8698034,0.8915073,0.021703899999999998,0.8622192,0.898582,0.03636280000000003,0.8875,0.875,-0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,1,1
105,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
106,0.98668116,0.9601207,-0.026560459999999897,0.9809732,0.9430295,-0.037943700000000025,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
107,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
108,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
109,0.9322168,0.9492381,0.017021300000000017,0.90316695,0.927483,0.024316049999999922,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
110,0.9731657,0.9534797,-0.01968599999999998,0.9616652,0.98711383,0.025448629999999972,1.0,0.875,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,1,1
111,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
112,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0
113,0.834836,0.8023488,-0.03248720000000005,0.81226575,0.824784,0.012518249999999953,0.8875,0.75,-0.13749999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1
114,0.90048236,0.9285364,0.028054040000000002,0.9328319,0.94612354,0.013291639999999938,0.825,0.8875,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,1,1
115,0.874673,0.88686144,0.012188439999999967,0.8209614,0.83837354,0.01741214000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
116,0.86709404,0.8847856,0.01769155999999994,0.81013435,0.8354079,0.025273549999999978,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
117,0.9213371,0.9388525,0.01751539999999996,0.88762444,0.91264635,0.02502191000000009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
118,0.8982746,0.8982746,0.0,0.8546781,0.8546781,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
119,0.9175,0.8812315,-0.03626850000000004,1.0,0.93747365,-0.06252634999999995,0.725,0.75,0.025000000000000022,0.0,0.0,0.0,0.0,0.0,0.0,1,1
120,0.9906866,1.0,0.009313400000000027,0.9866952,1.0,0.013304800000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
121,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
122,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
123,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
124,0.8897926,0.95928496,0.06949235999999992,0.88541806,0.94183576,0.056417700000000015,0.90000004,1.0,0.09999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1
125,0.9450226,0.97765046,0.03262785999999995,0.9214609,0.96807206,0.046611159999999985,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
126,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
127,0.96624994,0.97600985,0.009759909999999983,0.99999994,0.96572834,-0.03427160000000007,0.8875,1.0,0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1,1
128,0.97749996,0.91375,-0.06374996,0.99999994,0.99999994,0.0,0.925,0.71250004,-0.21249996000000004,0.0,0.0,0.0,0.0,0.0,0.0,1,1
129,0.9382618,0.9607617,0.022499900000000017,0.94394535,0.94394535,0.0,0.925,1.0,0.07499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1
130,0.9115715,0.97345465,0.06188315,0.87367356,0.9620781,0.08840454000000009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
131,0.3886721,0.71551335,0.32684125,0.12667443,0.5935905,0.46691607,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
132,0.99808484,0.99808484,0.0,0.99726397,0.99726397,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
133,0.0,0.0,0.0,0.10882701,0.11746589,0.008638880000000002,1.0,0.5,-0.5,1.0,1.0,1.0,1.0,0.0,0.0,0,0
134,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
135,0.8388611,0.85809577,0.01923467000000001,0.8180158,0.8562081,0.03819230000000007,0.8875,0.8625,-0.02499999999999991,0.0,0.0,0.0,0.0,0.0,0.0,1,1
136,0.9122779,0.93001616,0.017738260000000006,0.87468266,0.900023,0.025340340000000072,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
137,0.96250004,0.97749996,0.014999919999999944,0.99999994,0.99999994,0.0,0.875,0.925,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,1,1
138,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
139,0.8915748,0.91314393,0.021569130000000047,0.84510684,0.92413414,0.07902730000000002,1.0,0.8875,-0.11250000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1,1
140,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0
141,0.9115693,0.96250004,0.050930739999999974,0.92724186,1.0,0.07275814000000003,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
142,0.91749996,0.89124995,-0.026250010000000046,0.99999994,0.99999994,0.0,0.725,0.6375,-0.08750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1,1
143,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
144,0.95125,0.9300108,-0.021239200000000014,1.0,0.9482298,-0.05177019999999999,0.83750004,0.8875,0.049999959999999954,0.0,0.0,0.0,0.0,0.0,0.0,1,1
145,0.868351,0.8773608,0.009009800000000068,0.8119299,0.93730116,0.12537125999999998,1.0,0.7375,-0.26249999999999996,0.0,0.0,0.0,0.0,0.0,0.0,1,1
146,0.9106967,0.89400667,-0.016690030000000022,0.8724239,0.8485809,-0.02384300000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
147,0.9062649,0.95740664,0.051141739999999936,0.86609274,0.93915236,0.07305961999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
148,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
149,0.88860554,0.88860554,0.0,0.84086496,0.84086496,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
150,0.9288811,0.90937895,-0.019502149999999996,0.8984016,0.8705413,-0.02786030000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
151,0.9209679,0.9297352,0.008767300000000033,0.887097,0.8996217,0.012524699999999944,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
152,0.97749996,0.87249726,-0.1050026999999999,1.0,0.9624961,-0.037503900000000034,0.925,0.6625,-0.26250000000000007,0.0,0.0,0.0,0.0,0.0,0.0,1,1
153,0.96624994,0.809853,-0.15639693999999993,0.99999994,0.7765757,-0.22342424000000005,0.8875,0.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
154,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
155,0.93757915,0.9554283,0.01784914999999998,0.9108273,0.93632615,0.025498849999999962,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
156,0.9327404,0.9886946,0.055954199999999954,0.90391487,0.98384947,0.07993459999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
157,0.91876715,0.88753074,-0.031236409999999992,0.9375245,0.8875439,-0.04998059999999993,0.875,0.8875,0.012499999999999956,0.0,0.0,0.0,0.0,0.0,0.0,1,1
158,0.0,0.8898001,0.8898001,0.10361835,0.84257156,0.73895321,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1
159,0.94750005,0.8573702,-0.09012985000000007,1.0,0.9248145,-0.07518550000000002,0.825,0.7,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,1,1
160,0.85224277,0.94482386,0.09258108999999992,0.78891826,0.92117685,0.13225859000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
161,0.91243553,0.9386496,0.026214069999999978,0.874908,0.91235644,0.03744844000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
